timestamp,step,portfolio_value,buyhold_value,cash_balance,positions_value,unrealized_pnl,total_trades,winning_trades,losing_trades
2026-02-07T16:38:20.569252,4421,10038.151152417122,9209.892088414863,298.2834180336024,9739.867734383519,38.15115241712192,1541,76,176
2026-02-07T16:39:34.134852,4422,10047.06066445033,9224.958900712982,288.57846874446113,9758.482195705868,47.06066445032957,1543,76,176
2026-02-07T16:40:46.767581,4423,10058.506253294645,9230.278593186848,252.0680885520066,9806.438164742638,58.50625329464492,1547,76,176
2026-02-07T16:41:59.368362,4424,10053.512259668338,9219.667865621635,206.73733004314687,9846.774929625191,53.51225966833772,1553,76,176
2026-02-07T16:43:11.817397,4425,10042.301093976983,9217.438560048726,165.37619877447761,9876.924895202505,42.301093976982884,1560,76,176
2026-02-07T16:44:24.957313,4426,10043.586105678716,9219.494406134201,165.37619877447761,9878.209906904238,43.586105678716194,1560,76,176
2026-02-07T16:45:37.539167,4427,10037.153315370211,9214.921651711413,165.37619877447761,9871.777116595733,37.1533153702112,1560,76,176
2026-02-07T16:46:51.093549,4428,10025.211790129424,9197.190004491864,165.37619877447761,9859.835591354946,25.211790129424116,1560,76,176
2026-02-07T16:48:03.532321,4429,10021.317422509617,9200.078133274763,165.37619877447761,9855.941223735139,21.317422509617245,1560,76,176
2026-02-07T16:49:16.702702,4430,10022.817009797503,9199.399395515502,165.37619877447761,9857.440811023025,22.817009797503488,1560,76,176
2026-02-07T16:50:35.501462,4431,10011.198562543339,9191.605924433416,165.37619877447761,9845.82236376886,11.198562543338994,1560,76,176
2026-02-07T16:51:48.639342,4432,10013.855024466271,9191.826014914444,165.37619877447761,9848.478825691793,13.855024466271061,1560,76,176
2026-02-07T16:53:00.779349,4433,10015.237462188948,9195.82030136482,165.37619877447761,9849.86126341447,15.237462188948484,1560,76,176
2026-02-07T16:54:14.822679,4434,10017.78042014411,9197.114860642221,165.37619877447761,9852.404221369632,17.780420144110394,1560,76,176
2026-02-07T16:55:27.645281,4435,10013.093190803625,9196.253611185246,165.37619877447761,9847.716992029147,13.093190803625475,1560,76,176
2026-02-07T16:56:40.288025,4436,10005.091832249158,9182.616027746906,165.37619877447761,9839.71563347468,5.09183224915796,1560,76,176
2026-02-07T16:57:53.179280,4437,10005.992509969836,9187.345858947587,165.37619877447761,9840.616311195357,5.992509969835737,1560,76,176
2026-02-07T16:59:05.793758,4438,10006.497805813111,9191.9185725063,165.37619877447761,9841.121607038633,6.497805813110972,1560,76,176
